ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GTP binding	GTP binding	GTP binding	73/4088	361/35298	0.202216066481994	1.74604273842501	5.15646364613801	1.42084934515971e-06	4.13822371777765e-05	3.08473870988621e-05	LOC110894189/LOC110871064/LOC110910191/LOC110915851/LOC110867888/LOC110904411/LOC110928797/LOC118490578/LOC110929501/LOC110934839/LOC110898253/LOC110898952/LOC110912570/LOC110936329/LOC110940039/LOC110940095/LOC110940182/LOC110940787/LOC110940904/LOC110884492/LOC110864955/LOC110940244/LOC110865634/LOC110870589/LOC110867693/LOC110867677/LOC110899459/LOC110871606/LOC110873323/LOC118481041/LOC110873866/LOC110877648/LOC110878216/LOC110884259/LOC110885516/LOC110886017/LOC110889262/LOC110889764/LOC110891900/LOC110937519/LOC110941498/LOC110890347/LOC110891399/LOC110894603/LOC110894651/LOC110894717/LOC110897292/LOC110897777/LOC110898250/LOC110869222/LOC110923304/LOC110909036/LOC110903690/LOC110904394/LOC110910122/LOC110911020/LOC110911690/LOC110911691/LOC110911393/LOC110911590/LOC110911665/LOC110911970/LOC110912002/LOC118487669/LOC110912654/LOC110917373/LOC110916783/LOC110915874/LOC110885276/LOC110918093/LOC110867663/LOC110889304/LOC110920786	73
formation of cytoplasmic translation initiation complex	formation of cytoplasmic translation initiation complex	formation of cytoplasmic translation initiation complex	10/4088	16/35298	0.625	5.39658757338552	6.36614576335671	1.77180729281606e-06	4.96333810857557e-05	3.69980026164432e-05	LOC110879228/LOC118485660/LOC110904236/LOC110864268/LOC110873367/LOC110877780/LOC110881620/LOC110885008/LOC110885007/LOC110889774	10
small GTPase binding	small GTPase binding	small GTPase binding	14/4088	30/35298	0.466666666666667	4.02945205479452	6.0077486093805	1.81065982501684e-06	4.96333810857557e-05	3.69980026164432e-05	LOC110915735/LOC110929478/LOC110936697/LOC110936801/LOC110870058/LOC110936815/LOC110916667/LOC110894345/LOC110928674/LOC110910947/LOC110911056/LOC110896006/LOC110918798/LOC110926058	14
nuclear import signal receptor activity	nuclear import signal receptor activity	nuclear import signal receptor activity	13/4088	27/35298	0.481481481481481	4.15737116764514	5.93985838795146	2.73596947384555e-06	7.28549585606873e-05	5.43079654958816e-05	LOC110915735/LOC110929478/LOC110936697/LOC110936801/LOC110870058/LOC110916667/LOC110888677/LOC110897815/LOC110898289/LOC110898778/LOC110899183/LOC110908744/LOC110939255	13
peptidyl-serine phosphorylation	peptidyl-serine phosphorylation	peptidyl-serine phosphorylation	35/4088	136/35298	0.257352941176471	2.22212429492345	5.16803568438612	3.79680645262281e-06	9.82951003845683e-05	7.32717034716683e-05	LOC110866405/LOC110867206/LOC110928593/LOC110930824/LOC110936814/LOC110937799/LOC110938065/LOC110939632/LOC110939818/LOC110940671/LOC110941409/LOC110865466/LOC110865594/LOC110868253/LOC110868469/LOC110872101/LOC110872400/LOC110873588/LOC110877153/LOC110885524/LOC110890288/LOC110890888/LOC110894677/LOC110894807/LOC110897402/LOC110897592/LOC110898161/LOC110899783/LOC110909911/LOC110917951/LOC110916330/LOC110920829/LOC110915714/LOC110916328/LOC110882480	35
carbohydrate binding	carbohydrate binding	carbohydrate binding	43/4088	185/35298	0.232432432432432	2.00694716242661	4.96976708108219	5.74029689954796e-06	0.00014459342460483	0.00010778366866861	LOC110942152/LOC110919518/LOC110921587/LOC110931443/LOC110929259/LOC110929262/LOC110929263/LOC110929265/LOC110927800/LOC110929247/LOC110929363/LOC110929366/LOC110929367/LOC110929368/LOC110909317/LOC110909319/LOC118490468/LOC110889889/LOC110887946/LOC110943548/LOC110930003/LOC110930247/LOC110936852/LOC110941914/LOC110867978/LOC110872079/LOC110932471/LOC110877091/LOC110925471/LOC118481729/LOC118482001/LOC110878003/LOC110926060/LOC110926081/LOC110879976/LOC110886428/LOC110899497/LOC110878579/LOC118487434/LOC110911729/LOC110918649/LOC110926547/LOC110926530	43
COPII vesicle coat	COPII vesicle coat	COPII vesicle coat	12/4088	25/35298	0.48	4.14457925636008	5.69231345469795	6.93906974174749e-06	0.000170189815771281	0.000126863878934996	LOC110864246/LOC110872130/LOC110931725/LOC110864264/LOC110865472/LOC110912258/LOC110892834/LOC110865861/LOC118479410/LOC110918195/LOC110923113/LOC110922061	12
cellulose synthase (UDP-forming) activity	cellulose synthase (UDP-forming) activity	cellulose synthase (UDP-forming) activity	17/4088	46/35298	0.369565217391304	3.19102569556709	5.38160679038357	7.40291816057542e-06	0.000172487993141407	0.000128576999631047	LOC110917417/LOC110927367/LOC110930628/LOC110937503/LOC110938148/LOC110938151/LOC110938153/LOC110938152/LOC110938154/LOC110940310/LOC110865003/LOC110943205/LOC110893330/LOC110915073/LOC110917311/LOC110918766/LOC110921473	17
plant-type primary cell wall biogenesis	plant-type primary cell wall biogenesis	plant-type primary cell wall biogenesis	17/4088	46/35298	0.369565217391304	3.19102569556709	5.38160679038357	7.40291816057542e-06	0.000172487993141407	0.000128576999631047	LOC110917417/LOC110927367/LOC110930628/LOC110937503/LOC110938148/LOC110938151/LOC110938153/LOC110938152/LOC110938154/LOC110940310/LOC110865003/LOC110943205/LOC110893330/LOC110915073/LOC110917311/LOC110918766/LOC110921473	17
histone acetyltransferase activity	histone acetyltransferase activity	histone acetyltransferase activity	9/4088	15/35298	0.6	5.1807240704501	5.8612714993823	9.64977355314901e-06	0.000219355828086217	0.000163513492813308	LOC110878713/LOC110941377/LOC110942366/LOC110864822/LOC110871933/LOC110879368/LOC110889535/LOC110889539/LOC110910730	9
nucleolus	nucleolus	nucleolus	40/4088	171/35298	0.233918128654971	2.01977546606242	4.83792956215444	1.01525690052179e-05	0.000225290340782455	0.000167937231665259	LOC110944541/LOC110871064/LOC110929046/LOC110929290/LOC110937012/LOC110937047/LOC110941413/LOC110864236/LOC110864687/LOC110884492/LOC110865005/LOC110865839/LOC110871668/LOC110872853/LOC110920846/LOC110877334/LOC110877877/LOC110878119/LOC118482256/LOC118481850/LOC110884645/LOC110886049/LOC110889164/LOC110893715/LOC110904576/LOC110894626/LOC110895276/LOC110898016/LOC110907311/LOC110904377/LOC110910348/LOC110910560/LOC110911415/LOC110911393/LOC110912806/LOC110918715/LOC110916704/LOC110921973/LOC110889304/LOC110926290	40
chaperone cofactor-dependent protein refolding	chaperone cofactor-dependent protein refolding	chaperone cofactor-dependent protein refolding	29/4088	110/35298	0.263636363636364	2.27637875822807	4.85239420713775	1.51024019165786e-05	0.000327335781075611	0.000244004535249495	LOC110864547/LOC110920375/LOC110929044/LOC110929117/LOC110932994/LOC110936043/LOC110936435/LOC110939778/LOC110939857/LOC110940025/LOC110918978/LOC110918971/LOC110867123/LOC110872944/LOC110877876/LOC110885592/LOC110885591/LOC110885593/LOC118483317/LOC110885596/LOC110885727/LOC110894285/LOC110895197/LOC110899791/LOC110872871/LOC110909823/LOC110911952/LOC110940395/LOC110940194	29
mitotic cell cycle	mitotic cell cycle	mitotic cell cycle	23/4088	78/35298	0.294871794871795	2.54608234231522	4.94723684522823	1.59859904925213e-05	0.00033861234406886	0.000252410376197705	LOC110867888/LOC110928607/LOC110898952/LOC110939640/LOC110940095/LOC110940904/LOC110867693/LOC110867677/LOC110866485/LOC110873866/LOC110878216/LOC110885516/LOC110890347/LOC110894717/LOC110877266/LOC110897292/LOC110897777/LOC110899484/LOC110908392/LOC110916831/LOC110915874/LOC110918571/LOC110921429	23
trans-Golgi network	trans-Golgi network	trans-Golgi network	36/4088	153/35298	0.235294117647059	2.03165649821572	4.62835344317611	2.39714796671148e-05	0.000480976558961742	0.000358532334441777	LOC110917417/LOC110927367/LOC110930050/LOC110930628/LOC110937503/LOC110938148/LOC110938151/LOC110938153/LOC110938152/LOC110938154/LOC110921474/LOC110940310/LOC110864907/LOC110865003/LOC110896051/LOC110943205/LOC110867648/LOC110872373/LOC110872626/LOC110873703/LOC110879692/LOC110894351/LOC110894892/LOC110893330/LOC110898421/LOC110899298/LOC110899933/LOC110886501/LOC110918952/LOC110915073/LOC110917311/LOC110918766/LOC110914953/LOC110921473/LOC110922932/LOC110920604	36
response to hydrogen peroxide	response to hydrogen peroxide	response to hydrogen peroxide	16/4088	45/35298	0.355555555555556	3.07005870841487	5.02884599259728	2.40392038352346e-05	0.000480976558961742	0.000358532334441777	LOC110898783/LOC110931608/LOC110929397/LOC110929398/LOC110929403/LOC110929404/LOC110929405/LOC110934318/LOC110872272/LOC110874999/LOC110894649/LOC110894758/LOC110894757/LOC110907947/LOC110916798/LOC110917240	16
catalase activity	catalase activity	catalase activity	7/4088	10/35298	0.7	6.04417808219178	5.77370173809306	2.4255255655796e-05	0.000480976558961742	0.000358532334441777	LOC110898783/LOC110934318/LOC110872272/LOC110894649/LOC110894758/LOC110894757/LOC110907947	7
translation initiation factor activity	translation initiation factor activity	translation initiation factor activity	26/4088	97/35298	0.268041237113402	2.31441281497771	4.69156359739876	2.98908314637832e-05	0.00058038031092179	0.000432630455396862	LOC110879228/LOC110894866/LOC110915851/LOC118485660/LOC110904236/LOC110942077/LOC110864268/LOC118480298/LOC110873367/LOC110873590/LOC110877780/LOC110881620/LOC110885008/LOC110885007/LOC110886017/LOC110886254/LOC110889764/LOC110889774/LOC110893728/LOC110896247/LOC110894052/LOC110898485/LOC110912654/LOC110912866/LOC110917373/LOC110923091	26
cellulose biosynthetic process	cellulose biosynthetic process	cellulose biosynthetic process	17/4088	51/35298	0.333333333333333	2.87818003913894	4.85778943643832	3.53853783961873e-05	0.000673044340107073	0.000501704613136061	LOC110917417/LOC110927367/LOC110930628/LOC110937503/LOC110938148/LOC110938151/LOC110938153/LOC110938152/LOC110938154/LOC110940310/LOC110865003/LOC110943205/LOC110893330/LOC110915073/LOC110917311/LOC110918766/LOC110921473	17
microtubule	microtubule	microtubule	23/4088	82/35298	0.280487804878049	2.4218832036657	4.66528623101144	3.87511401795862e-05	0.000722321252947486	0.000538436895126882	LOC110867888/LOC118490578/LOC110929501/LOC110934839/LOC110898952/LOC110940095/LOC110940904/LOC110870589/LOC110867693/LOC110867677/LOC110873866/LOC110877648/LOC110878216/LOC110885516/LOC110937519/LOC110890347/LOC110894717/LOC110897292/LOC110897777/LOC110911690/LOC110911691/LOC110915874/LOC110918093	23
P-type calcium transporter activity	P-type calcium transporter activity	P-type calcium transporter activity	13/4088	33/35298	0.393939393939394	3.40148550080057	4.99508003753888	3.98960883478849e-05	0.000729081457651543	0.000543476126101218	LOC110927946/LOC110940629/LOC118479706/LOC110865694/LOC110877349/LOC110877350/LOC110895175/LOC110886181/LOC110889267/LOC110895438/LOC110902435/LOC110901606/LOC110911027	13
microtubule cytoskeleton organization	microtubule cytoskeleton organization	microtubule cytoskeleton organization	20/4088	67/35298	0.298507462686567	2.57747466191547	4.67751043451797	4.60816166664915e-05	0.000825924360253271	0.0006156653238843	LOC110867888/LOC110898952/LOC110940095/LOC110940904/LOC110942104/LOC110867693/LOC110867677/LOC110866915/LOC110873866/LOC110878216/LOC110885516/LOC110890063/LOC110890347/LOC110894717/LOC110897292/LOC110897777/LOC110898987/LOC110910941/LOC110915874/LOC110919433	20
cysteine-type deubiquitinase activity	cysteine-type deubiquitinase activity	cysteine-type deubiquitinase activity	23/4088	83/35298	0.27710843373494	2.39270388795888	4.59739103411275	4.77779145309923e-05	0.000837891994023137	0.000624586306816434	LOC110868942/LOC118490220/LOC110940942/LOC110864484/LOC110864558/LOC110921118/LOC110890239/LOC110868259/LOC110868485/LOC110873428/LOC110873440/LOC110886590/LOC110889151/LOC110891094/LOC118484768/LOC110893964/LOC110898126/LOC110899783/LOC110908731/LOC110904338/LOC110868191/LOC110922301/LOC110920795	23
transcription coregulator activity	transcription coregulator activity	transcription coregulator activity	25/4088	94/35298	0.265957446808511	2.29642024399384	4.55502936814752	4.8547390211641e-05	0.000837891994023137	0.000624586306816434	LOC110864993/LOC110929172/LOC110936198/LOC110939759/LOC110864899/LOC110899463/LOC110871767/LOC110872807/LOC110884148/LOC110886431/LOC110922488/LOC110894169/LOC110894263/LOC110894269/LOC110895811/LOC110896128/LOC110898775/LOC110908999/LOC110910240/LOC110910791/LOC110911866/LOC110911863/LOC110926062/LOC110922099/LOC110921986	25
deadenylation-dependent decapping of nuclear-transcribed mRNA	deadenylation-dependent decapping of nuclear-transcribed mRNA	deadenylation-dependent decapping of nuclear-transcribed mRNA	8/4088	14/35298	0.571428571428571	4.93402292423819	5.32830963284981	5.05259917242265e-05	0.000840896862267483	0.000626826213120103	LOC110937791/LOC110927205/LOC110864903/LOC110885626/LOC110918116/LOC110897371/LOC110877061/LOC110935820	8
mitochondrial outer membrane translocase complex	mitochondrial outer membrane translocase complex	mitochondrial outer membrane translocase complex	8/4088	14/35298	0.571428571428571	4.93402292423819	5.32830963284981	5.05259917242265e-05	0.000840896862267483	0.000626826213120103	LOC110937513/LOC110891069/LOC110873421/LOC110882072/LOC110894646/LOC110900077/LOC110911214/LOC110921381	8
endosome membrane	endosome membrane	endosome membrane	7/4088	11/35298	0.636363636363636	5.49470734744707	5.39594917582431	5.99891721635199e-05	0.000980875586954396	0.000731169965427943	LOC110935445/LOC110871953/LOC110886441/LOC110886840/LOC110924224/LOC110895535/LOC110911404	7
oxidoreductase activity, acting on CH-OH group of donors	oxidoreductase activity, acting on CH-OH group of donors	oxidoreductase activity, acting on CH-OH group of donors	12/4088	30/35298	0.4	3.45381604696673	4.86619681618954	6.61278489258008e-05	0.00105894604801246	0.00078936570102578	LOC110929308/LOC110929307/LOC110929300/LOC110929299/LOC110916839/LOC110886885/LOC118490389/LOC110917615/LOC110874223/LOC110877524/LOC110877525/LOC110877473	12
cyclin-dependent protein serine/threonine kinase activity	cyclin-dependent protein serine/threonine kinase activity	cyclin-dependent protein serine/threonine kinase activity	14/4088	39/35298	0.358974358974359	3.09957850368809	4.74795815139702	6.81724923613174e-05	0.00105894604801246	0.00078936570102578	LOC110929954/LOC110879889/LOC110879888/LOC110879887/LOC110879958/LOC110884409/LOC110899216/LOC110909973/LOC110910545/LOC110911062/LOC110916813/LOC110920152/LOC110926489/LOC110925866	14
structural constituent of cytoskeleton	structural constituent of cytoskeleton	structural constituent of cytoskeleton	14/4088	39/35298	0.358974358974359	3.09957850368809	4.74795815139702	6.81724923613174e-05	0.00105894604801246	0.00078936570102578	LOC110867888/LOC110898952/LOC110940095/LOC110940904/LOC110867693/LOC110867677/LOC110873866/LOC110878216/LOC110885516/LOC110890347/LOC110894717/LOC110897292/LOC110897777/LOC110915874	14
iron-sulfur cluster assembly	iron-sulfur cluster assembly	iron-sulfur cluster assembly	12/4088	31/35298	0.387096774193548	3.34240262609684	4.72210446963996	9.65502585600294e-05	0.00141608181404555	0.00105558391379045	LOC110942999/LOC110939902/LOC110941125/LOC110864535/LOC110872327/LOC110889154/LOC110890246/LOC110892784/LOC110910716/LOC110912552/LOC110920573/LOC110922804	12
dipeptide transmembrane transporter activity	dipeptide transmembrane transporter activity	dipeptide transmembrane transporter activity	8/4088	15/35298	0.533333333333333	4.60508806262231	5.0542440874211	9.72416696340295e-05	0.00141608181404555	0.00105558391379045	LOC110912832/LOC110912808/LOC110912791/LOC110898501/LOC110884498/LOC110884497/LOC110880721/LOC110883982	8
dipeptide transport	dipeptide transport	dipeptide transport	8/4088	15/35298	0.533333333333333	4.60508806262231	5.0542440874211	9.72416696340295e-05	0.00141608181404555	0.00105558391379045	LOC110912832/LOC110912808/LOC110912791/LOC110898501/LOC110884498/LOC110884497/LOC110880721/LOC110883982	8
late endosome	late endosome	late endosome	8/4088	15/35298	0.533333333333333	4.60508806262231	5.0542440874211	9.72416696340295e-05	0.00141608181404555	0.00105558391379045	LOC110928518/LOC110928863/LOC110928862/LOC110869186/LOC110877566/LOC110889188/LOC110896663/LOC110898591	8
peroxisome	peroxisome	peroxisome	20/4088	71/35298	0.28169014084507	2.43226482180756	4.37212053602956	0.000113422633476874	0.00162630606769918	0.00121229049546133	LOC110871177/LOC110898783/LOC110928562/LOC110930110/LOC110934318/LOC110903750/LOC110865220/LOC110884021/LOC110872272/LOC110873148/LOC110894649/LOC110894758/LOC110894757/LOC110907947/LOC110889855/LOC110868201/LOC110916007/LOC110882585/LOC110926367/LOC110921258	20
microtubule binding	microtubule binding	microtubule binding	44/4088	217/35298	0.202764976958525	1.75078232795549	4.01499845854678	0.000149582469564961	0.00211228578234157	0.00157455231121012	LOC110942285/LOC110866533/LOC110923410/LOC110926114/LOC110865868/LOC118490578/LOC110929501/LOC110927754/LOC110929674/LOC110935606/LOC110936127/LOC110934839/LOC110938193/LOC110887773/LOC110940311/LOC110942104/LOC110870589/LOC110867622/LOC110866915/LOC110873634/LOC110877648/LOC110879017/LOC110879393/LOC110889968/LOC110890063/LOC110890213/LOC110937519/LOC110904584/LOC110897409/LOC110898545/LOC110898927/LOC110898987/LOC118485848/LOC110910941/LOC110911690/LOC110911691/LOC110912948/LOC110872396/LOC110915872/LOC110919433/LOC110918093/LOC110921429/LOC110925565/LOC110865169	44
protein autophosphorylation	protein autophosphorylation	protein autophosphorylation	74/4088	421/35298	0.175771971496437	1.51771013940343	3.867547129884	0.000170958892062997	0.00235978012781035	0.00175904098074862	LOC110866405/LOC110867206/LOC110883952/LOC110933960/LOC110928668/LOC110931752/LOC110930824/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110937799/LOC110939632/LOC110939818/LOC110865968/LOC110865105/LOC110868253/LOC110871908/LOC110901438/LOC110873588/LOC110875331/LOC110877402/LOC110885524/LOC110881415/LOC110886847/LOC110890288/LOC110888060/LOC110891106/LOC110891477/LOC118484244/LOC110893688/LOC110894361/LOC110892590/LOC110894365/LOC110894677/LOC110897402/LOC110897592/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC118485859/LOC110899344/LOC110898700/LOC110901776/LOC110899486/LOC110899783/LOC110900359/LOC110908315/LOC110916153/LOC110908605/LOC110908553/LOC110908699/LOC110908713/LOC118486273/LOC110908814/LOC110908869/LOC110908868/LOC110908885/LOC110909911/LOC110912357/LOC110915941/LOC118479249/LOC110916330/LOC110916328/LOC118487975/LOC110882480/LOC110924261/LOC110925112/LOC118488945/LOC110890537	74
ribonucleoside binding	ribonucleoside binding	ribonucleoside binding	8/4088	16/35298	0.5	4.31727005870841	4.80332175298737	0.000174704751951625	0.00235978012781035	0.00175904098074862	LOC110937867/LOC110912158/LOC118482690/LOC110889075/LOC110911844/LOC110913848/LOC110912021/LOC110887940	8
tripeptide transmembrane transporter activity	tripeptide transmembrane transporter activity	tripeptide transmembrane transporter activity	8/4088	16/35298	0.5	4.31727005870841	4.80332175298737	0.000174704751951625	0.00235978012781035	0.00175904098074862	LOC110912832/LOC110912808/LOC110912791/LOC110898501/LOC110884498/LOC110884497/LOC110880721/LOC110883982	8
regulation of transcription by RNA polymerase II	regulation of transcription by RNA polymerase II	regulation of transcription by RNA polymerase II	62/4088	339/35298	0.182890855457227	1.57917842855411	3.87802124053464	0.000183551404026426	0.00241054428127584	0.00179688189026661	LOC110864993/LOC110935807/LOC110924365/LOC110927075/LOC110927114/LOC110928841/LOC110929172/LOC110929999/LOC118491443/LOC110936198/LOC110937271/LOC110939759/LOC118492252/LOC110864419/LOC110864899/LOC110864970/LOC110864995/LOC110937265/LOC118480404/LOC110871767/LOC110872807/LOC110873659/LOC110877772/LOC110878159/LOC110879589/LOC110884148/LOC110886431/LOC110889941/LOC110890470/LOC110922488/LOC110893755/LOC110893781/LOC110894169/LOC110894269/LOC110898088/LOC110926055/LOC110896128/LOC118485593/LOC110897973/LOC110897903/LOC110898050/LOC110898407/LOC110898637/LOC110898775/LOC110910045/LOC110910240/LOC110911648/LOC110910633/LOC110911866/LOC110911863/LOC110912415/LOC110912671/LOC110915446/LOC110920959/LOC110920740/LOC110920671/LOC110922099/LOC110912479/LOC110923112/LOC110921986/LOC110921016/LOC110926346	62
polysaccharide binding	polysaccharide binding	polysaccharide binding	23/4088	90/35298	0.255555555555556	2.20660469667319	4.14804104508387	0.00018363588408861	0.00241054428127584	0.00179688189026661	LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110872047/LOC110877291/LOC110877292/LOC110885040/LOC110908473/LOC110941994/LOC110884364/LOC110912331/LOC110908594/LOC110908590/LOC110908917/LOC110903782/LOC110903830/LOC110911981/LOC110911980/LOC110909867/LOC110913921	23
membrane coat	membrane coat	membrane coat	9/4088	20/35298	0.45	3.88554305283757	4.67162565781104	0.000188041113046099	0.00243408774109673	0.00181443179255008	LOC110926651/LOC110940972/LOC110897850/LOC110898070/LOC110899566/LOC110904210/LOC110919628/LOC110895031/LOC110925390	9
establishment or maintenance of cell polarity	establishment or maintenance of cell polarity	establishment or maintenance of cell polarity	11/4088	29/35298	0.379310344827586	3.275170389365	4.43602320705606	0.000232801165225527	0.00293203629716475	0.00218561549144876	LOC110899459/LOC118481041/LOC110889114/LOC110891591/LOC110889115/LOC110939284/LOC110909036/LOC110911970/LOC118487669/LOC110916783/LOC110915376	11
positive regulation of transcription elongation by RNA polymerase II	positive regulation of transcription elongation by RNA polymerase II	positive regulation of transcription elongation by RNA polymerase II	11/4088	29/35298	0.379310344827586	3.275170389365	4.43602320705606	0.000232801165225527	0.00293203629716475	0.00218561549144876	LOC110929954/LOC110938018/LOC110865368/LOC110879958/LOC110885399/LOC110899216/LOC110910724/LOC110911062/LOC110920152/LOC110926489/LOC110925866	11
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	17/4088	59/35298	0.288135593220339	2.48791833891671	4.13971812902383	0.0002685028996974	0.00321730728073422	0.00239826384152314	LOC110911102/LOC110911083/LOC110886277/LOC110898949/LOC110898948/LOC110898945/LOC110898946/LOC110941141/LOC118483806/LOC110926657/LOC110899031/LOC110886869/LOC110898450/LOC110898451/LOC110901182/LOC110898454/LOC110898456	17
microfilament motor activity	microfilament motor activity	microfilament motor activity	10/4088	25/35298	0.4	3.45381604696673	4.44189475309032	0.00026925962220737	0.00321730728073422	0.00239826384152314	LOC110871306/LOC118490101/LOC110936988/LOC110937308/LOC110941445/LOC110878917/LOC110877028/LOC110889163/LOC110890487/LOC110898610	10
RNA polymerase II CTD heptapeptide repeat kinase activity	RNA polymerase II CTD heptapeptide repeat kinase activity	RNA polymerase II CTD heptapeptide repeat kinase activity	10/4088	25/35298	0.4	3.45381604696673	4.44189475309032	0.00026925962220737	0.00321730728073422	0.00239826384152314	LOC110929954/LOC110879958/LOC110884409/LOC110899216/LOC110909973/LOC110910545/LOC110911062/LOC110920152/LOC110926489/LOC110925866	10
vesicle transport along actin filament	vesicle transport along actin filament	vesicle transport along actin filament	10/4088	25/35298	0.4	3.45381604696673	4.44189475309032	0.00026925962220737	0.00321730728073422	0.00239826384152314	LOC110871306/LOC118490101/LOC110936988/LOC110937308/LOC110941445/LOC110878917/LOC110877028/LOC110889163/LOC110890487/LOC110898610	10
vesicle	vesicle	vesicle	13/4088	39/35298	0.333333333333333	2.87818003913894	4.24729068761016	0.000289488660741095	0.0034152333140595	0.0025458030125133	LOC110870357/LOC110871306/LOC118490101/LOC110936988/LOC110937308/LOC110941445/LOC110878917/LOC110865787/LOC110877028/LOC110889163/LOC110890487/LOC110898610/LOC110915272	13
SRP-dependent cotranslational protein targeting to membrane	SRP-dependent cotranslational protein targeting to membrane	SRP-dependent cotranslational protein targeting to membrane	8/4088	17/35298	0.470588235294118	4.06331299643145	4.57217503235671	0.000296491906596354	0.00345413071184752	0.00257479813623149	LOC110894189/LOC110910191/LOC110940787/LOC110864452/LOC110865634/LOC110891399/LOC110885276/LOC110920703	8
asymmetric cell division	asymmetric cell division	asymmetric cell division	6/4088	10/35298	0.6	5.1807240704501	4.78536908069604	0.000333167172785771	0.00369656910757546	0.00275551797040863	LOC110942106/LOC110879647/LOC110889704/LOC110894383/LOC110894384/LOC110915743	6
box H/ACA snoRNA binding	box H/ACA snoRNA binding	box H/ACA snoRNA binding	6/4088	10/35298	0.6	5.1807240704501	4.78536908069604	0.000333167172785771	0.00369656910757546	0.00275551797040863	LOC118480431/LOC110872308/LOC110881399/LOC110869094/LOC110907756/LOC110883277	6
phosphoenolpyruvate carboxylase activity	phosphoenolpyruvate carboxylase activity	phosphoenolpyruvate carboxylase activity	6/4088	10/35298	0.6	5.1807240704501	4.78536908069604	0.000333167172785771	0.00369656910757546	0.00275551797040863	LOC110928485/LOC110909114/LOC110885880/LOC110929879/LOC110897458/LOC110912914	6
regulation of cell cycle	regulation of cell cycle	regulation of cell cycle	6/4088	10/35298	0.6	5.1807240704501	4.78536908069604	0.000333167172785771	0.00369656910757546	0.00275551797040863	LOC110924365/LOC110937265/LOC118480404/LOC110871641/LOC110890470/LOC110898407	6
actin filament organization	actin filament organization	actin filament organization	16/4088	55/35298	0.290909090909091	2.5118662159758	4.0610256161523	0.000357390008100415	0.00391867632411278	0.0029210824191489	LOC110871306/LOC118490101/LOC110936988/LOC110937308/LOC110941445/LOC110878917/LOC110899459/LOC118481041/LOC110877028/LOC110889163/LOC110890487/LOC110898610/LOC110909036/LOC110911970/LOC118487669/LOC110916783	16
rRNA processing	rRNA processing	rRNA processing	20/4088	77/35298	0.25974025974026	2.24273769283554	3.95094923003492	0.000373897522333006	0.00405200570714374	0.00302046958065831	LOC110866430/LOC110866000/LOC110874977/LOC110927661/LOC110864375/LOC110871625/LOC110872853/LOC110879761/LOC110879786/LOC110885045/LOC110886049/LOC110889635/LOC110893715/LOC110893782/LOC110895276/LOC110897405/LOC110898423/LOC110910251/LOC110910560/LOC110909797	20
protein phosphatase type 2A complex	protein phosphatase type 2A complex	protein phosphatase type 2A complex	13/4088	40/35298	0.325	2.80622553816047	4.13666730798298	0.00038373284544814	0.00411079324089272	0.00306429132481273	LOC110881770/LOC110929620/LOC110938141/LOC110941036/LOC110868293/LOC110872307/LOC110889185/LOC110869096/LOC110898398/LOC110904112/LOC110911248/LOC110921020/LOC110921398	13
myosin complex	myosin complex	myosin complex	10/4088	26/35298	0.384615384615385	3.32097696823724	4.28469505822041	0.000392319039626232	0.00415501528331419	0.00309725557599657	LOC110871306/LOC118490101/LOC110936988/LOC110937308/LOC110941445/LOC110878917/LOC110877028/LOC110889163/LOC110890487/LOC110898610	10
endoplasmic reticulum to Golgi vesicle-mediated transport	endoplasmic reticulum to Golgi vesicle-mediated transport	endoplasmic reticulum to Golgi vesicle-mediated transport	29/4088	131/35298	0.221374045801527	1.91146307942815	3.78254867376433	0.000426160764548384	0.0044627172197651	0.00332662453698324	LOC110864246/LOC110937007/LOC110872130/LOC110916486/LOC110883131/LOC110928605/LOC110931725/LOC110930933/LOC110936394/LOC110936393/LOC110921474/LOC110864264/LOC110865472/LOC110872373/LOC110877213/LOC110877424/LOC110886849/LOC110888243/LOC110893930/LOC110904843/LOC110892834/LOC110908764/LOC110865861/LOC110917508/LOC110918571/LOC110918195/LOC110926413/LOC110923113/LOC110922061	29
chaperonin-containing T-complex	chaperonin-containing T-complex	chaperonin-containing T-complex	9/4088	22/35298	0.409090909090909	3.53231186621598	4.29997885751408	0.000448556319101362	0.00464504988224966	0.00346254000709823	LOC110866733/LOC110904418/LOC110908792/LOC110889421/LOC110895573/LOC110897380/LOC110898238/LOC110910501/LOC110911895	9
NuA4 histone acetyltransferase complex	NuA4 histone acetyltransferase complex	NuA4 histone acetyltransferase complex	7/4088	14/35298	0.5	4.31727005870841	4.49296873683142	0.000454426011172765	0.00465412134519798	0.00346930210958964	LOC110871689/LOC110936522/LOC110909355/LOC110899463/LOC110893755/LOC110908999/LOC110912671	7
